streamer,twitch_id
DavidLafargeOFF,407945713
NForceTV,85425283
Rofellos,255707595
SenseiLeKam,651288527
Lege,26184492
Thebenbig,64068940
AyzenLr,217715744
GAZO,852816720
Gautoz,26849594
LePotoMat,596371111
Hctuan,175560856
Hari_Live,185863509
yannoujr10,197074157
MathieuSommetLive,798312463
Berdydaft,77383534
Varg31,165114781
PSG,478715115
Hugolisoir,137573929
PriscillaLiaud,608852885
Sharkklol,103490313
Kyono_GF,726826555
Zoltan,125809135
Drunge_,42465441
Mabzouel,77148737
Cocottee_,656252271
LolyPokicake,410299002
JLFakemonster,problem with username
Lilith,90481777
ProTeamSurTwiitch,126360993
Psyhodelik,problem with username
Wisethug,87805484
DamsCocFps,142742947
LadySundae,36086436
Evalunna,79916834
Coffee,176243295
evilmaman,498453154
Forsa,27920057
Wingobear,41384425
Modiiie,48759454
Rasmelthor,97189013
KiliraTV,110016424
neikoohh_,83036580
IciJaponCorp,766602965
Zydar,85510026
PyrooTv,90661740
Etienne_Moustache,153629918
Sohoven,177671609
Charles,475763739
hadess31,121978599
ikoneec,108236875
armatorlk,142506321
Lepandaman,141490402
Lriaa_BDS,421549249
Arewilia,91123842
Maystine,30856797
DobbyElfe,62759094
SouInsane,81206052
SuperZouloux,37165813
DogaDprime,493689243
EnjoyPhoenix,492897250
Akytio,27621732
Pantoufl,35806568
MathPellerin,614718025
AdzTV,170547313
ZeSadPanda,13564286
Khadim,645911728
XEWER,88524154
Wati,115737878
Dylan_Del_Rey,83822427
RomainJacques_,643055332
AnkamaLive,189560195
Chipsette_FR,101049128
SimonPuech,182838120
Iti63,18615783
CyberSlots,638977035
Elbe_Polyvalence,234217124
Idater,451958260
axoskillLIVE,193257984
PolakFifa,142049630
BARDINETTE,87072436
Humility,84240904
wakandafitness,730901823
Remx,53571235
Hiuuugs,203202724
pepipin,264858004
lesnumeriques,662638256
Chotec_,180071480
LaSAINTE,675284287
ZONGOLED0Z0,161168700
MLDEG,28201887
Le_Moadib,47394101
Kingchris287,235455187
Yob,106729463
exlelite,53445723
Dye_Live,40693942
lydia__am,264502025
Anaee,158851049
Amobones,156764662
Gastronogeek,160009153
Deujna,42541814
Doflamingoh2,74397555
EntrepreneurGeek,515181282
Chinoir,412066833
pandorelol,169527258
CanardPC,192231926
brokybrawkstv,97610047
FitzAdri,129163519
Farore,100590241
Galino,90911923
ToneEUW,141222256
XTQZZZZ,72581578
KatareLOL,140605154
ZvonimirTV,148567255
Depielo,183181014
KAOsvmd,85876549
Covfefe,158453939
OceaneAmsler,729914963
Terada,30271296
GameIntervention_,255368087
Maevys,223938258
Zaardoz,112553336
Mick3y54,116800403
khaliderk_,756386103
ThefishouGO,79727968
Shaiiko,72210831
rokkeks,793826266
leothecrackfn,804923620
Povers,32779768
ShyroBoy,523692922
DouteuxTv1,409259668
dupontlematin,589104592
WaRTeK,31952238
FefeGG,150716625
ShizzlePlus,557347988
ravennrust,90328706
MarverikG,108523725
LilyKonjo,462851312
Nateos,267603990
OMofficial,491625140
GaspowRL,121767601
CasquetteVerte,677307179
Solivann,176553438
BlingCjay,89040422
RyoSenseiTV,128368067
lastbaroudeur,196870264
Mlle_Sunny,499665727
FM_Guru,20850617
Ichiban_Japan,564003903
jskk91,problem with username
SUSSULEVRAI,83030545
Sora,147539451
NobuSpartan,539703465
euuhhh__,232810438
Swid,42120892
AlexYukiii,81079419
Razhagtw,150208836
PlaneteDeCaro,509479846
Sushint,101718787
FrandroidLive,136385371
DazJDM,26447580
Boqqou,744745169
Nwashi,158787806
TwinZzz_Qc,89180509
Eversax,23370689
idrizlabasefc,271432683
Skeyma,101270580
lequipefr,237870645
Decheterie,806678870
Cass_Andre,94124693
Savun,445427499
Mowwwgliii,157389048
Maxildan,25605761
Jaxweel,98023559
videokilled,113342023
LZ_haamaa,194355366
BenBest_ow,133993495
Hoosgaming,38608453
FibreTigre,54636452
As2piK,80857446
Yannex,42674933
Melon_Lol,109779801
Demochien_,130436233
Histoire_Appliquee,456031625
spicyhoney_,184787467
APO_,73917217
SNKHA_,252528878
angelus_esport,91483729
ManaProd,58737711
JSavageW,183233971
kronopanpanetronre,603675701
B_RGT,126287193
Aiola,107414209
NoemieStinguette,112249722
Aimebap,150044844
MrSal_59,526168468
kiribios,107496464
Eliott_Dragon,207317150
lineette,764285118
alucare_v2,443644710
PirAStack,75261421
COFFEE_FR,461581250
HayzaaTV_,502560031
Radosin,143504293
kevin02340,85930447
Furgoth,158104981
Proxhy,96195366
maleK_CSGO,85034121
Nalahri,178627099
jokaa45,152454625
LaMatinaleFoot,659442470
MRGANG_TV,494669355
JeuSerieux,67321240
Kitty_r6,152088629
JLMowraa,427035204
cass_wow,738148481
4zrr,89471706
pelerine,402890635
TarkanDofus,97288591
Arkea001,189757051
mino7x_,165503120
